id,product_id,quantity,location,update_date,status
1,1,928,"Unit 4604 Box 5258
DPO AA 37752",2022-01-10,IP
2,2,167,"PSC 0767, Box 8666
APO AA 36041",2021-04-05,IP
3,3,258,"6277 David Valleys
West Bryan, MN 84036",2021-10-29,A
4,4,665,"10754 Butler Locks Suite 586
Lake Dorothy, OK 45904",2022-10-22,IP
5,5,406,"Unit 9311 Box 2038
DPO AA 59771",2022-11-16,IP
6,6,155,"4507 Gregory Burgs
Lake Anthony, AZ 47057",2022-04-08,A
7,7,372,"PSC 0255, Box 8960
APO AE 41370",2022-12-11,OS
8,8,951,"23420 Briggs Fort
New Chelsea, TX 74379",2024-01-17,A
9,9,218,"0972 Heather Spurs
Port Williamfort, CO 39289",2024-03-07,A
10,10,343,"0778 Bradley Trafficway
Lake Mindyfort, KY 14064",2022-06-02,A
11,11,959,"031 Christine Lock
Gardnerborough, NH 36374",2022-01-13,IP
12,12,465,"5780 Ward Motorway
Gibbston, NY 44734",2023-05-23,A
13,13,225,"635 Moore Plaza Suite 437
West Tracyfort, IL 13420",2023-01-28,OS
14,14,937,"9459 Pruitt Spurs Apt. 451
Austinport, MO 13901",2024-03-24,A
15,15,368,"125 Kendra Ports
East Nancyborough, OH 86055",2022-01-19,OS
16,16,102,"412 Russell Freeway
Stevenland, VA 18373",2023-01-10,A
17,17,718,"USS Valdez
FPO AA 42447",2023-10-01,IP
18,18,523,"862 Rebecca Crest
Mcguiremouth, DC 53297",2023-01-17,IP
19,19,584,"2103 Katherine Lane Apt. 379
Joshuaborough, TX 38169",2021-04-07,OS
20,20,658,"8861 Antonio Loaf
Bowmanhaven, WI 70404",2023-03-07,A
21,21,503,"60516 Adams Run Apt. 689
Brianview, NH 59148",2020-02-27,IP
22,22,797,"912 Elliott Fields
South Kristen, CA 43563",2022-04-10,IP
23,23,426,"134 Mclaughlin Key
Dickersonside, HI 71373",2023-04-12,IP
24,24,370,"3009 Nicholas Drive Suite 377
South Sandraview, SD 07524",2020-10-15,OS
25,25,920,"0665 Meza Lakes Suite 578
Spencermouth, ND 63534",2023-08-10,IP
26,26,541,"95747 Clark Passage Apt. 702
Gordonmouth, KY 07167",2023-09-02,A
27,27,99,"5556 William Views
South Christine, VA 15871",2023-04-05,OS
28,28,662,"4229 Thompson Alley
New Jasminestad, MS 04365",2021-03-12,IP
29,29,501,"884 Samantha Alley Apt. 123
North Stephanieport, NY 57393",2024-01-30,A
30,30,38,"6724 Webster Terrace
East Richardtown, IA 44340",2021-11-17,IP
31,31,923,"6452 Christine Wells
Gregoryland, GA 42682",2023-11-18,A
32,32,563,"859 Michael Garden Apt. 324
Angelahaven, OH 36316",2020-09-18,A
33,33,958,"98706 Rachel Wall
Port Alexanderbury, VT 95216",2024-01-28,IP
34,34,984,"049 Martinez Manor Apt. 630
Walkerland, MS 75740",2020-10-27,OS
35,35,73,"Unit 1071 Box 6075
DPO AP 51726",2022-10-08,A
36,36,545,"842 Bryant Fords
Lake Marcus, NJ 48643",2022-07-13,A
37,37,648,"84615 Allen Ridge
East Clinton, MT 10900",2020-12-30,IP
38,38,498,"0975 Ashley Crest Apt. 518
Zacharychester, NJ 82114",2020-06-11,IP
39,39,316,"112 Andrew Inlet Suite 373
Jodyside, ID 11620",2020-12-21,A
40,40,857,"4776 Chelsea Turnpike Suite 352
New Karen, AK 07825",2023-11-05,OS
41,41,178,"882 Jennifer Road Apt. 470
North Jasonmouth, AK 97875",2021-01-21,A
42,42,984,"PSC 6788, Box 8608
APO AE 90803",2022-07-27,OS
43,43,933,"77287 Roberts Ways Suite 445
New Deniseshire, NJ 92176",2020-08-10,OS
44,44,192,"1970 Crawford Islands Apt. 727
Lake Kevin, KY 82212",2021-11-18,IP
45,45,353,"45052 Barajas Plains Apt. 044
Lake Lauren, NC 58375",2021-04-03,OS
46,46,651,"2106 Schultz Highway Suite 967
Lake Richard, MN 96884",2021-04-26,OS
47,47,745,"01733 Morrison Plains
South Ian, FL 05305",2023-07-11,A
48,48,840,"USCGC Hamilton
FPO AP 80415",2024-03-17,OS
49,49,661,"60386 Abigail Viaduct
Harrisview, IL 51264",2021-08-27,IP
50,50,463,"42006 Victor Crossroad Apt. 352
Port Kiarafurt, OK 31776",2021-06-02,OS
