id,origin,destination,cost,estimated_time,company
1,Romeroton,Jefferyton,984,09:57:56,"Robinson, White and Scott"
2,South Marco,West Pedrofurt,344,13:37:15,Rosales Inc
3,South Vincent,Melaniemouth,937,05:43:12,Jones-Walters
4,New Loriview,Ramirezview,186,23:25:12,"Brennan, Mathews and Thomas"
5,Mcfarlandtown,New Karafurt,423,22:06:02,"Pham, Heath and Hudson"
6,East Tony,North Jerry,65,01:54:02,"Floyd, Curtis and Martinez"
7,Cindyhaven,New Kyle,863,17:28:55,"Wilson, Rivas and Daniels"
8,Camposhaven,East Fredtown,76,17:33:39,White-Lawson
9,Port Sarah,Clintonborough,312,03:46:51,Lyons-Holt
10,Taylorshire,East Lindafurt,844,13:38:26,Holland-Duncan
11,Jonborough,North Meredithmouth,856,00:58:31,Elliott Ltd
12,Lake Beth,Moodyport,392,07:35:31,Thompson-Christian
13,Juliaside,East Jennifer,989,18:32:27,Moore-Sullivan
14,Candicemouth,West Anne,770,20:16:15,Soto Group
15,Lake Miguel,Lake Mark,472,09:46:40,"Rivera, Pierce and Mendoza"
16,Jennifertown,Ryanmouth,39,08:25:28,Gomez Ltd
17,Brettmouth,West Cynthiaberg,701,19:27:25,Taylor LLC
18,Martinezton,Jonesfort,514,00:21:08,Larsen and Sons
19,South Curtis,Port Taylor,740,05:33:26,Valdez PLC
20,Nealstad,East Leslieland,610,00:21:10,Jacobs and Sons
21,Benjaminshire,Ashleyborough,268,18:17:09,"Vega, Evans and Tucker"
22,Port Andrea,Parrishshire,886,17:07:58,"Smith, Mueller and Carroll"
23,Port Anna,Brianatown,778,10:57:31,"Vincent, Campos and Woodward"
24,West Traceymouth,Wrightville,639,02:11:38,"Burns, Schmidt and Nguyen"
25,East Michaelfurt,Amybury,159,23:00:42,Johnson Inc
26,North Amy,Tonyashire,355,16:10:58,Bell-Bartlett
27,East James,Myersbury,978,13:44:21,"Hale, Lewis and Bush"
28,Christinaberg,Port Johnborough,229,16:28:04,Weaver-Sanders
29,Natalieborough,Perezport,129,09:05:12,"Patterson, Freeman and Walsh"
30,Lisaside,West Jodiberg,803,19:50:09,Santiago Group
31,Lake Kristinafurt,West Jacksonmouth,915,10:15:52,"Arellano, Butler and White"
32,Bradleymouth,Kelseyborough,360,17:19:20,Hayes Ltd
33,East Norma,Christineport,320,14:06:10,Kline-Reed
34,Jacksonfurt,Hartmanbury,96,17:46:41,"Tate, Harrell and Haley"
35,East Tinatown,Lake Christopher,811,09:47:45,Fisher Group
36,North Brandon,South Joseph,325,21:35:32,"Wallace, Steele and Higgins"
37,East Donaldview,North Valerie,503,09:42:33,Williams-Campbell
38,Jenniferfurt,Lynnborough,912,11:34:16,Fox LLC
39,Spencerville,South Denise,632,13:12:20,Washington-Gardner
40,Donaldland,Lake Justin,903,20:28:08,Barnes PLC
41,Larryton,Andersonmouth,632,23:46:09,Little Ltd
42,New Kennethport,Port Christina,467,00:23:11,"Turner, Wright and Powell"
43,Farrellborough,East Jeremyfurt,263,18:56:49,"Carter, Murphy and Jones"
44,South Robert,Markschester,855,20:33:45,Rodriguez Inc
45,New John,Port Jason,847,16:21:51,"Morrow, Rivera and Smith"
46,North Angela,New Thomasfort,887,00:33:17,"Small, Yu and Moore"
47,Jeffreyberg,Brandonmouth,107,22:39:23,Duncan LLC
48,Port Melissa,North Samantha,987,12:30:46,Pena-Herman
49,Victormouth,South Dorisfort,336,08:17:42,Dunn Ltd
50,Marisamouth,Garciashire,427,04:00:45,Smith and Sons
51,Rachelbury,South Benjaminport,552,05:16:02,"Booker, Barber and Garcia"
52,Halefurt,Kyleville,185,02:29:20,"Heath, Davis and Mcdowell"
53,Osborneberg,New Crystal,942,20:09:59,Yu Ltd
54,West Robertmouth,Joshuastad,556,01:48:41,"Ellis, Smith and Coleman"
55,Newmanport,South Omar,708,17:54:59,"Meadows, Arnold and Welch"
56,South Joshua,South Alexis,534,20:27:25,"Gordon, Mitchell and Strickland"
57,Torresland,Muellerville,635,11:54:38,Mann PLC
