purchase_order_id,inventory_id,cantidad,precio_unitario,descuento
334,1,85,132,0.4
801,2,61,428,0
563,3,37,896,0
414,4,5,497,0.2
488,5,30,690,0.1
351,6,28,749,0.1
570,7,68,364,0.3
955,8,59,271,0.3
891,9,1,184,0.2
669,10,8,731,0.3
938,11,13,977,0
998,12,42,848,0.2
83,13,63,413,0.4
155,14,70,534,0.3
339,15,21,933,0
455,16,81,433,0.1
561,17,13,238,0.1
406,18,30,933,0.2
690,19,28,801,0.3
550,20,1,932,0.2
822,21,7,231,0.1
600,22,48,8,0
1000,23,77,409,0.1
154,24,63,808,0.3
847,25,19,727,0.3
517,26,95,180,0.1
419,27,27,647,0
251,28,47,915,0.1
52,29,25,969,0.2
938,30,73,150,0.4
462,31,93,988,0.1
713,32,99,577,0.4
732,33,75,114,0.3
784,34,83,902,0
657,35,9,63,0.4
296,36,24,834,0
746,37,57,298,0.2
43,38,3,32,0.3
798,39,44,323,0.4
92,40,72,548,0
990,41,87,994,0.2
585,42,98,622,0.3
494,43,54,176,0
490,44,98,854,0.1
435,45,68,411,0
381,46,90,487,0
303,47,31,828,0.2
143,48,40,809,0
438,49,40,25,0
236,50,94,469,0.3
578,51,62,213,0.2
171,52,92,871,0.2
450,53,47,143,0
298,54,70,399,0.3
10,55,25,814,0.1
646,56,26,289,0.2
612,57,27,747,0
176,58,79,891,0
123,59,94,603,0
807,60,31,450,0.3
776,61,82,682,0.4
461,62,80,548,0.2
436,63,59,138,0
302,64,49,660,0.3
922,65,49,339,0.4
835,66,50,289,0
675,67,45,452,0.2
633,68,12,733,0.2
822,69,63,410,0.3
546,70,96,868,0.2
295,71,61,553,0.1
746,72,84,101,0.3
839,73,72,41,0.4
243,74,77,971,0.1
351,75,45,928,0.2
236,76,71,632,0.4
843,77,78,814,0.2
256,78,61,492,0.1
675,79,21,893,0.1
903,80,6,779,0.2
142,81,69,825,0.1
563,82,85,981,0.2
401,83,84,923,0
842,84,32,578,0
268,85,22,158,0.4
553,86,34,724,0.4
845,87,87,298,0.3
542,88,75,159,0.1
192,89,2,777,0.3
168,90,45,274,0.1
190,91,28,187,0.1
652,92,48,524,0.2
61,93,82,81,0.3
945,94,6,970,0.4
187,95,22,548,0.3
752,96,15,73,0
668,97,9,762,0.1
823,98,70,541,0.3
141,99,82,563,0.2
319,100,37,552,0.2
104,101,44,125,0.4
163,102,25,198,0
813,103,10,78,0.3
817,104,78,635,0.4
21,105,79,970,0
628,106,35,889,0
91,107,34,135,0
457,108,87,577,0.2
844,109,89,575,0.3
535,110,84,208,0.2
988,111,9,592,0.1
241,112,35,354,0.4
384,113,43,695,0.4
481,114,33,754,0.3
786,115,98,651,0
705,116,24,381,0.1
139,117,6,252,0.2
815,118,20,106,0
379,119,13,474,0.2
701,120,71,335,0.4
925,121,19,935,0.3
903,122,30,472,0.3
841,123,16,568,0
224,124,72,624,0
118,125,17,527,0.4
664,126,73,747,0.2
579,127,65,302,0.4
982,128,54,111,0.3
390,129,75,986,0.1
236,130,63,98,0
861,131,80,978,0.3
597,132,56,607,0.2
447,133,23,648,0.3
95,134,39,458,0.2
600,135,26,615,0.3
121,136,74,933,0.3
795,137,65,271,0.3
773,138,24,143,0.1
403,139,9,169,0.2
706,140,60,395,0
517,141,31,520,0
300,142,97,613,0.4
926,143,12,455,0.1
573,144,80,429,0.2
820,145,13,445,0.2
888,146,93,264,0
590,147,53,227,0.4
974,148,43,72,0.4
738,149,9,696,0.4
248,150,32,790,0.3
272,151,52,653,0.2
647,152,15,169,0.1
839,153,86,393,0.2
650,154,62,938,0.4
861,155,27,746,0
110,156,4,467,0.4
262,157,59,750,0
899,158,98,560,0.2
54,159,52,423,0.3
175,160,88,768,0.4
961,161,29,584,0.2
555,162,50,442,0
779,163,76,99,0.3
890,164,93,998,0.3
334,165,19,792,0.4
10,166,30,643,0.3
362,167,31,791,0.2
534,168,9,380,0.3
663,169,24,858,0.4
186,170,63,470,0.1
516,171,30,845,0
425,172,46,112,0.1
142,173,74,190,0.2
496,174,29,998,0
908,175,18,906,0.4
801,176,26,876,0.4
716,177,54,529,0.3
144,178,25,324,0.2
600,179,69,404,0.4
322,180,64,91,0.1
498,181,76,938,0.4
12,182,75,442,0
825,183,67,940,0.1
435,184,29,754,0.1
347,185,74,715,0.1
453,186,44,409,0.3
139,187,39,833,0.1
363,188,35,875,0.1
196,189,4,36,0.4
751,190,6,947,0.1
274,191,10,111,0.1
448,192,72,220,0.2
256,193,92,387,0
960,194,81,942,0
644,195,45,539,0.2
954,196,77,708,0
189,197,30,355,0.2
250,198,97,328,0.2
655,199,97,250,0.4
336,200,19,466,0.4
431,201,45,776,0.3
148,202,53,263,0.3
145,203,45,105,0.4
694,204,10,507,0.3
865,205,3,400,0
109,206,97,409,0.1
643,207,32,337,0
313,208,40,795,0.4
993,209,79,519,0.2
893,210,57,645,0.1
281,211,63,835,0.3
50,212,42,119,0.2
70,213,21,347,0.1
132,214,5,192,0.1
993,215,16,600,0.4
801,216,75,453,0.3
544,217,36,640,0.1
344,218,29,376,0
378,219,25,47,0
542,220,72,183,0.1
532,221,96,617,0.3
670,222,40,729,0
4,223,32,110,0.1
763,224,70,377,0.4
400,225,51,304,0.2
670,226,25,553,0.2
616,227,77,38,0.4
497,228,41,744,0.3
247,229,56,844,0.3
198,230,41,501,0.3
442,231,35,454,0.1
527,232,39,989,0.4
