inventory_id,purchase_order_id,cantidad,precio_unitario,subtotal
1,184,66,222,3846
2,760,16,407,2359
3,264,16,458,4590
4,47,89,650,545
5,33,35,393,4460
6,381,15,573,6492
7,20,63,468,3371
8,767,75,493,6076
9,395,43,353,8051
10,793,16,599,1718
11,255,59,735,6139
12,297,58,589,3497
13,955,73,852,755
14,981,63,926,5283
15,762,64,434,2139
16,903,76,978,6646
17,631,11,642,3741
18,199,73,524,1017
19,27,92,722,9617
20,901,90,351,8621
21,304,75,714,1971
22,639,20,196,3700
23,822,88,959,8478
24,109,62,545,5074
25,274,2,280,4386
26,759,26,17,9230
27,978,27,235,6994
28,425,21,285,507
29,205,78,892,5753
30,544,76,279,4166
31,169,95,264,6429
32,765,18,674,7372
33,557,49,519,3273
34,298,88,575,8192
35,579,68,786,9265
36,8,42,803,3860
37,600,95,8,2441
38,275,1,729,5708
39,289,8,794,4240
40,944,46,405,1164
41,291,61,517,8453
42,433,6,727,1876
43,894,73,961,6934
44,243,38,973,6101
45,660,30,489,9640
46,97,59,581,5302
47,835,77,470,3952
48,851,10,877,5367
49,854,12,529,1520
50,954,38,736,9325
51,549,34,224,1921
52,783,73,374,6146
53,880,95,881,8522
54,734,76,994,3289
55,985,9,502,9202
56,542,47,32,2290
57,914,66,760,7729
58,655,85,149,7822
59,542,15,974,5593
60,754,18,951,8969
61,871,31,823,269
62,288,59,708,1895
63,137,51,232,6643
64,550,37,321,258
65,168,12,721,7348
66,870,95,409,7923
67,875,39,211,294
68,568,81,225,6185
69,722,73,117,3823
70,484,79,939,9052
71,636,37,961,5633
72,895,85,240,1765
73,89,51,726,5923
74,156,19,123,5873
75,684,27,190,5353
76,244,79,594,5571
77,623,42,336,4628
78,725,96,986,4801
79,6,25,705,5673
80,93,41,131,2584
81,845,4,65,1741
82,861,36,53,5388
83,4,90,111,5561
84,494,77,895,1125
85,372,15,530,9096
86,159,3,225,2139
87,869,9,863,2791
88,991,46,699,6812
89,970,88,282,7824
90,906,44,65,9566
91,764,2,23,9152
92,377,32,423,918
93,285,99,816,2398
94,138,69,746,6058
95,768,79,949,2706
96,754,11,359,5618
97,561,80,579,207
98,13,99,246,5077
99,752,69,395,7896
100,538,84,227,6840
101,693,99,556,195
102,773,33,459,1991
103,742,76,136,1859
104,346,88,171,8588
105,762,95,887,7461
106,474,30,473,5762
107,848,56,790,7373
108,706,43,174,3931
109,894,22,305,3531
110,553,80,471,110
111,790,5,700,6755
112,37,41,983,7692
113,428,44,436,7083
114,694,9,419,9528
115,219,36,298,1599
116,843,59,785,2047
117,856,55,935,3810
118,154,50,811,6421
119,190,19,370,6852
120,107,45,791,3968
121,757,93,699,5201
122,36,61,461,1404
123,158,73,948,8113
124,517,88,651,7060
125,278,75,775,5597
126,492,17,842,4234
127,386,61,979,2218
128,46,53,32,9114
129,977,13,9,8725
130,889,96,217,2523
131,196,33,951,2714
132,309,86,338,5242
133,975,61,443,6270
134,180,24,180,2592
135,474,96,54,2392
136,635,22,192,7100
137,955,43,403,5434
138,242,19,21,3065
139,628,95,662,2500
140,921,14,302,7717
141,307,22,76,970
142,536,46,115,2494
143,397,21,223,2183
144,318,10,984,1143
145,235,4,104,3076
146,27,43,11,8951
147,135,23,134,965
148,423,78,961,2217
149,895,58,298,749
150,11,88,722,9663
151,988,23,198,587
152,55,1,838,3249
153,379,68,672,2545
154,377,20,944,685
155,675,24,28,6306
156,822,60,534,4530
157,482,47,373,3791
158,78,91,133,4505
159,460,67,162,1334
160,828,45,432,3846
161,422,49,445,9802
162,481,51,510,852
163,579,42,392,4371
164,576,88,641,4320
165,624,36,117,5630
166,804,55,158,5570
167,583,2,232,136
168,715,76,192,7755
169,304,83,59,2029
170,243,88,207,9104
171,371,89,554,5736
172,220,50,394,2574
173,126,49,39,3887
174,929,59,489,9105
175,712,52,36,3989
176,537,45,6,8975
177,745,90,568,2051
178,537,88,410,1438
179,172,98,444,2748
180,161,8,253,6651
181,741,74,316,309
182,766,39,184,3584
183,959,1,140,55
184,517,46,807,1764
185,317,7,477,1481
186,408,4,463,6420
187,17,98,405,481
188,302,71,549,6343
189,405,3,852,4182
190,48,38,26,4881
191,159,52,232,4190
192,350,62,759,5757
193,38,20,480,5426
194,810,95,110,7320
195,315,35,716,4173
196,977,24,436,7781
197,240,8,652,7455
198,170,31,328,4295
199,44,89,739,1479
200,820,2,416,6128
201,744,14,482,7587
202,874,32,704,9256
203,559,5,274,1085
204,999,61,869,6012
205,956,52,668,4462
206,604,91,574,7378
207,809,49,438,8283
208,544,95,738,7086
209,732,34,107,4675
210,871,20,799,7983
211,475,77,686,456
212,324,77,871,8426
213,999,94,665,6169
214,677,41,86,3749
215,840,63,624,4454
216,869,50,643,5703
217,388,35,702,7338
218,570,29,948,7698
219,986,12,548,9220
220,150,60,502,9244
221,276,92,389,2653
222,779,98,946,3812
223,587,59,698,2766
224,397,92,466,1217
225,492,50,309,9441
226,128,15,884,2603
227,429,24,11,4675
228,775,84,698,4282
229,520,57,882,1034
230,325,33,498,1348
231,245,12,616,2943
232,770,23,126,15
233,141,24,554,3866
234,347,64,742,9749
235,677,75,540,5975
236,143,73,975,779
237,577,80,6,8009
238,414,59,747,6286
239,538,98,241,4395
240,557,40,241,9667
241,711,77,486,7049
242,667,18,664,6163
243,115,40,372,1579
244,332,91,888,3137
245,34,2,87,8458
246,536,87,152,9754
247,809,47,572,7838
248,867,79,942,5004
249,981,93,696,5894
250,381,71,73,3500
251,127,33,492,6497
252,877,45,438,5260
253,729,22,64,6960
254,182,20,838,504
255,972,63,989,3691
256,283,64,853,5591
257,848,36,283,1259
258,702,67,292,430
259,96,71,571,6642
260,472,71,814,6024
261,261,65,780,281
262,782,87,122,1743
263,496,15,817,379
264,601,26,156,679
265,994,91,624,838
266,711,60,316,500
267,108,53,585,9732
268,576,63,589,4346
269,408,32,624,5560
270,548,37,138,7139
271,231,31,366,699
272,498,56,785,6148
273,757,45,297,9892
