product_id,supplier_id,fecha_inicio,fecha_fin,cantidad
1,2,2024-01-24,2024-06-21,44
2,6,2024-03-12,2024-12-06,10
3,89,2024-01-06,2024-10-05,34
4,43,2024-01-19,2024-06-24,26
5,60,2024-03-11,2024-05-31,53
6,28,2024-01-30,2024-11-15,5
7,11,2024-03-23,2024-08-02,87
8,66,2024-02-12,2024-11-06,33
9,69,2024-04-10,2024-05-30,38
10,92,2024-03-01,2024-06-18,17
11,45,2024-04-06,2024-05-17,86
12,46,2024-01-02,2025-03-23,46
13,32,2024-01-11,2024-11-12,28
14,32,2024-03-31,2024-09-02,1
15,14,2024-02-29,2024-07-09,59
16,96,2024-03-06,2025-02-14,1
17,19,2024-03-20,2025-02-01,4
18,27,2024-02-24,2024-12-14,85
19,16,2024-03-07,2025-01-12,78
20,93,2024-04-08,2024-06-11,47
21,81,2024-02-25,2025-04-15,85
22,24,2024-02-19,2024-08-22,55
23,1,2024-01-23,2024-05-17,4
24,41,2024-01-06,2024-10-24,91
25,92,2024-04-04,2024-12-12,10
26,72,2024-03-16,2024-10-29,81
27,62,2024-04-12,2024-08-05,64
28,88,2024-01-21,2024-07-17,82
29,25,2024-01-10,2024-11-29,18
30,61,2024-02-08,2024-04-20,59
31,2,2024-01-06,2024-12-01,98
32,23,2024-02-12,2024-10-09,100
33,25,2024-01-01,2024-12-16,71
34,89,2024-04-14,2024-04-29,92
35,24,2024-03-26,2024-05-15,44
36,39,2024-01-05,2025-03-24,67
37,61,2024-03-14,2025-02-18,37
38,31,2024-04-03,2025-03-04,41
39,41,2024-03-26,2024-05-12,22
40,2,2024-02-24,2024-07-22,80
41,27,2024-01-05,2025-03-30,28
42,63,2024-03-04,2025-02-06,56
43,38,2024-02-16,2024-06-05,98
44,28,2024-02-21,2024-09-05,81
45,44,2024-03-06,2024-05-09,31
46,59,2024-02-05,2024-12-29,74
47,99,2024-02-25,2024-08-01,35
48,48,2024-04-05,2025-01-18,43
49,2,2024-02-04,2025-02-01,71
50,67,2024-02-11,2024-06-12,31
51,18,2024-02-07,2025-04-08,34
52,25,2024-04-15,2025-04-14,68
53,81,2024-03-24,2025-02-28,18
54,41,2024-04-04,2025-03-10,23
55,19,2024-02-17,2024-10-22,100
56,77,2024-02-25,2024-07-05,46
57,27,2024-01-10,2024-11-19,94
58,66,2024-04-12,2025-02-09,8
59,71,2024-01-04,2024-12-17,78
60,66,2024-03-23,2024-12-07,74
61,33,2024-02-29,2024-06-25,91
